,Unnamed: 0,Cod_Personal,SpanishC,Resources,Spanish Comprehension Effect,Family Resources Effect
0,0,C017HUM,-1.311608083605626,0.2266849941897653,-0.8242866671652439,0.32943050960237796
1,1,C017QTY,-0.768106269503258,-0.1317839374741915,-0.48272023086123445,0.010904807409887828
2,2,C093LPG,-0.5207660357247559,-1.1887415359917248,-0.32727802254799554,0.18428169217986912
3,3,C095EUA,0.2766503820063281,1.2664932356701308,0.17386231771849503,0.38433655482247664
4,4,C117PCP,-0.9988000613882876,0.819894177405488,-0.6277008994203038,0.3399724808184801
5,5,C117ZCJ,0.7518374796983639,1.1062163954477635,0.47249602845297894,0.37019743189057924
6,6,C219FXH,-0.2774249023897676,-0.4878544450304311,-0.17434906893137397,-0.01282697104809961
7,7,C293CQN,-0.4625505590662324,-0.1253328847263067,-0.2906922147658602,0.272520883554361
8,8,C318MDG,1.47321449736176,0.6580726285446199,0.9258490270291563,0.052799189037902025
9,9,C319GBH,-0.3965173156843301,-0.5159871818899826,-0.24919329234404192,0.23811156495620178
10,10,C362BFV,0.1852273288909323,0.2608319391420429,0.11640704224672573,0.30180564562274975
11,11,C417EYF,-0.2031009285077069,2.3846531328467333,-0.12763979541629755,0.48034213884119664
12,12,C447PLV,-0.7772076780735022,0.315570017275341,-0.4884400566465805,0.3071192921734659
13,13,C476NXT,-0.6297413622348135,0.0713481390739829,-0.39576411211621815,0.2922100487380901
14,14,C518UIX,0.7176029880107703,0.937111740023272,0.450981190744989,0.34874773422862837
15,15,C717CXP,-0.4168083208011863,0.3899510146866746,-0.2619452761037237,0.06558548417089544
16,16,C739FTF,0.7971523115711635,1.184509172344212,0.5009743614279489,0.40176959829933034
17,17,C798RCT,0.4205162359588806,-0.2222817871854976,0.26427553394954706,0.2665484204275464
18,18,C824FSS,-1.336231695446126,-0.1313671928328554,-0.8397614993131062,0.2614302821182887
19,19,C824NBF,0.6537837406667311,0.766966891292787,0.41087366521830904,0.34965139275751345
20,20,C824PBD,0.5804533286989946,0.6278015771013058,0.36478880066290387,0.3663229660022889
21,21,C870LSQ,0.7909813236883629,1.4384466150952455,0.4970961731958,0.4204554973777158
22,22,C918MAY,-0.7443343933996662,-0.5748872792734903,-0.46778067630174425,0.23991746944676495
23,23,C919YHU,-0.5152522919572464,0.910257092100026,-0.3238128826708232,0.36014845469877105
24,24,C958WNC,-0.6671988059702106,0.8270187589374544,-0.4193044301754837,0.32318235885845925
25,25,C973KNY,-0.5131196747505034,0.2012487909754907,-0.32247262870955373,0.29939923668920954
26,26,C990QJT,-0.5620767796806915,0.4090108237446179,-0.3532399664237499,0.31730035326966743
27,27,D029TLV,0.0093543367308194,0.9870855700765456,0.005878779754232578,0.34820347409013475
28,28,D056QJV,-0.5631319016688422,0.7818595088767234,-0.3539030631200394,0.21438612979336064
29,29,D070GGF,0.481820390684618,-0.6495615547377542,0.3028024369275669,0.23312040902689082
30,30,D077DTL,0.6681980974959918,-0.0507304769199701,0.41993243993816237,0.15733738945778034
31,31,D095SAB,-0.0912845083296067,0.3701954714964822,-0.05736820630746736,0.3101176054321138
32,32,D136TKR,0.310939846365065,0.2455443660238937,0.19541170327690485,0.32461274528637696
33,33,D142RPP,-0.1143613577136302,0.9584133953997088,-0.07187096784515132,0.34449869757412316
34,34,D156UGS,-0.5453649270991796,0.9370427766565128,-0.34273731899518056,0.3608438018977758
35,35,D228DXU,0.7112259256826114,0.5985934560076102,0.44697349399587105,0.3331902615053772
36,36,D230VRZ,-0.6991282235424493,0.0734892377676472,-0.43937063251452135,0.042459038450665426
37,37,D259IWF,-0.3113816192483516,-1.0755676423350575,-0.19568933765729635,0.21575422366835187
38,38,D288SZI,-1.1718748337160678,0.7974768789502842,-0.7364706066489042,0.3643440314817204
39,39,D340RAN,-1.3798149142656269,-0.1111531744915152,-0.8671515913948059,0.29608109488947665
40,40,D354VFQ,-0.4060369559345457,-0.1733656303491476,-0.25517595792268877,0.24296132192160358
41,41,D379DMI,-0.4970900857850925,0.6964739664111383,-0.3123987532665139,0.34030187418401514
42,42,D456XJE,-0.1365244965573639,-0.5300332328424442,-0.08579950341897968,0.22406742738600527
43,43,D467YBA,0.6427191566499556,-0.1120502592071276,0.40392007199426794,0.2725358276491461
44,44,D547MVL,-1.1729092633701794,1.5862210983911915,-0.7371206991442634,0.43341246146096246
45,45,D558QCH,-0.3421760546215064,1.1874290133326912,-0.2150422547506356,0.34287816642571356
46,46,D675EZD,0.6213707341462192,0.6818748445643518,0.39050354898347234,0.3108151715422006
47,47,D852UCL,-0.2731064825765696,-0.1232405190558458,-0.17163513637809485,0.29588224916791195
48,48,D862VCU,-0.6123041537333553,1.2972938300065897,-0.38480561112801126,0.25896979686762306
49,49,E144ATR,0.5806742243834544,-0.1989417232175383,0.3649276236617939,0.2345660856549402
50,50,E145UGF,-1.241744188710568,-0.8585129841223087,-0.7803803526204902,0.20149468309507138
51,51,E353ZCS,-1.266378829359768,-0.140158471013479,-0.7958621158783995,0.3125580409166409
52,52,E477LWH,-0.4757715095407325,0.4374347323834453,-0.29900098728685914,0.09309783814110968
53,53,E582SJC,-0.1192510877285611,-0.5622634049220828,-0.07494394315517323,0.25478323357187455
54,54,E652VBM,-0.8452675675208479,-0.3117473817105429,-0.531212634935337,0.1459065257674233
55,55,E844UWS,-1.4861980566637147,0.7886306744693296,-0.9340086098791873,0.2406286075256865
56,56,E887HEZ,-1.3798935113688455,-0.6618335760071905,-0.8672009861378476,0.2165669969416325
57,57,E890NPT,-0.6177990927432193,0.0608880131529781,-0.3882589330610887,0.2824351826099275
58,58,C025CRL,0.8771212398737634,0.9123197986587122,0.5512312348120463,0.35457425288486977
59,59,C051QSA,-0.5593090976099067,-0.136897095350633,-0.35150060276899964,0.2705337988604828
60,60,C221CWQ,-0.1134803011296236,-0.5001374384518786,-0.07131726342361533,0.2712041644990322
61,61,C251BSI,-0.4625938220082559,1.1121767462135093,-0.2907194035783859,0.24243918944684073
62,62,C265CLS,0.5690467620772899,-0.4402938376388382,0.35762028675853974,0.24608766781428093
63,63,C285UVN,-0.4262681671200319,1.132741751967274,-0.26789036388682197,0.3970984642350995
64,64,C367YZU,-0.599239014078706,-0.2165099170736481,-0.37659475869686876,0.23053116114337172
65,65,C422QJH,0.7062617936371094,0.0670822553687548,0.443853760357217,0.2854694397575064
66,66,C536LHS,0.7416625354077945,0.8190972220545056,0.46610153376916363,0.35095730778382045
67,67,C621VUI,-1.3002116858998531,0.8780829628919306,-0.8171245439670113,0.40494419483352895
68,68,C628DNC,-0.1708352241586462,-0.1374489161785238,-0.10736225196862899,0.12663784354555496
69,69,C763DVE,0.507769061769677,0.9602884018933336,0.31911000919204346,0.383703055144046
70,70,C840FBW,0.8003487464443412,1.0910398561036478,0.5029831769280634,0.39346323746075107
71,71,C857DPQ,0.6782794253160739,1.1225537051259766,0.42626810088237654,0.3980577295363859
72,72,C965CQK,0.6500051006777522,0.5651489435564241,0.4084989599981564,0.32999549203531514
73,73,D539FUX,-0.4018083464276599,1.111453983722912,-0.25251846710607817,0.3924887308074071
74,74,D575MPL,0.6043183414370109,-0.4866376489762726,0.3797868874066193,0.26372282125228086
75,75,D737HGH,0.7010612206622943,0.7101133031918951,0.4405854342327121,0.3392814747859992
76,76,E030VPF,0.287026675708099,0.686939026220075,0.18038335144790607,0.30800101764950194
77,77,E442YSI,-0.0766626899118447,0.114611521510944,-0.048179051313591625,0.3078223396804101
78,78,E765EJP,0.7609771517242163,0.76813077212432,0.4782399010985814,0.34318113097376257
79,79,E796URB,-0.167114255234832,0.8986473777227532,-0.10502379041812937,0.3531974953744632
80,80,C019NRA,-1.6264730284483626,-0.968264948563529,-1.0221651182328158,0.2566905477689042
81,81,C025DWY,-1.9213386263922096,-1.8214673497546268,-1.2074748796080756,0.20958833875032323
82,82,C218MXV,-1.7090048570060294,-2.2341738346029367,-1.074032659114264,0.15580450643301402
83,83,C317MXY,-1.66133454860303,-0.2252734431358268,-1.044074015120375,0.2849779349622771
84,84,C319RPC,-1.662578218787709,-0.5409607151119941,-1.044855605874805,0.31226491677037393
85,85,C320VCH,-1.092649980685105,-1.1014677333257927,-0.6866813510947396,0.2154408470435101
86,86,C324QJE,-0.7168879020980994,-1.6403574960821874,-0.450531791422844,0.2281414673852324
87,87,C324XJC,-0.6810848851350102,-1.0575529656678506,-0.42803120615209994,0.28077116865406554
88,88,C324YJC,-1.1136213613550223,-0.7145608968008833,-0.69986092027728,0.2867148654083973
89,89,C419TLM,-0.8844562369959622,0.6154203785422377,-0.5558409504787132,0.3964831876835505
90,90,C528ZQH,-1.896529585770888,-2.0409255735168577,-1.191883513814492,0.1790589040534272
91,91,C618BUT,-1.1067119711706508,-1.0647272997039852,-0.6955186794216403,0.21505683529011593
92,92,C719RXZ,-0.9948561323002404,-0.6575144172826537,-0.6252223174382642,0.262770101407634
93,93,C721YGV,-1.7384280626134916,-0.7535045735904329,-1.0925238199958136,0.29563922308636903
94,94,C917JCJ,-0.77292455038748,-1.8225295213181556,-0.4857483036073274,0.1902528440398243
95,95,C917RBE,-0.5747559538102823,-0.4659172310266911,-0.3612082568881983,0.10663697349519388
96,96,C918CSS,-0.9522945481578968,-0.4463145529209593,-0.5984742767845943,0.1042237110227547
97,97,C918STB,-1.522022875264349,-0.0528411161472665,-0.956522896498204,0.35443671679751654
98,98,C919SDX,-1.589903298303246,-0.1196132505717834,-0.9991826882240098,0.2860329051316608
99,99,D076AAT,-1.6687848840658035,-0.570007201686963,-1.048756215744658,0.28310547480748055
100,100,D142XZV,-1.5198251272346694,0.7212583749969624,-0.95514171074516,0.12962357524311913
101,101,D144DMT,-1.5965898164011445,-0.2541752211193814,-1.0033848640010188,0.3315422708481248
102,102,D163CSB,-0.5995801645184957,-0.5773949070509591,-0.37680915639884327,0.2554378548042459
103,103,D244RTW,-0.2314985625329412,0.3361088944727994,-0.14548643070211434,0.3081461760118543
104,104,D257AZN,-0.6772800256529622,-1.9924512752611263,-0.42564002316025107,0.16871721143661614
105,105,D339WWJ,-0.752660537531837,-0.9648291417743768,-0.47301328326935127,0.21998507600108597
106,106,D378PDX,-0.4357305491970007,-0.5569593509804591,-0.2738370452798088,0.20409948628566293
107,107,D438NIC,-1.070508200680823,-0.4735194945518632,-0.6727662385905051,0.31536860441619863
108,108,D459CJA,-0.8052039896643541,-1.8729682422979927,-0.506034478839149,0.1468119519518787
109,109,D461NBS,-1.1576759515876218,1.113930517530673,-0.727547248083627,0.38961733961018397
110,110,D534GXP,-1.5062892768521488,0.5992862293981526,-0.9466350378003093,0.3744265803217067
111,111,D550WBY,-0.5098372371991213,0.9345697420737166,-0.32040976439571933,0.38953911716327394
112,112,D697XMG,0.0160833770765337,-0.2428712816931061,0.010107678850783945,0.14756175844972802
113,113,D756GMX,-0.4388166904498028,1.2105620985898524,-0.2757765462019748,0.2618602590243449
114,114,D762RMV,-1.2719857399091674,-0.868203074696516,-0.7993858068861226,0.25880329778646627
115,115,D785YJQ,-0.7020355531542638,-0.6363217183329121,-0.4411977583656258,-0.014458730576667134
116,116,D798LAA,-0.6858630411995614,-1.8042376048557007,-0.4310340622543719,0.18627698095956086
117,117,D863QLK,-0.408402930582102,-0.5425427372970469,-0.25666286653602266,0.2581959656023841
118,118,D889QWL,-1.541853411014584,-0.5679672270208722,-0.9689854959789322,0.28326984535293226
119,119,D928RCS,-0.3715152700759743,0.8256157832747907,-0.23348063160001,0.37335182083619656
120,120,D936CLN,-0.8027132472938189,-2.092286392903977,-0.5044691593256158,0.18898940989748228
