,Cod_Personal,Spanish Comprehension,Family Resources
0,C017HUM,-1.311608083605626,0.22668499418976534
1,C017QTY,-0.768106269503258,-0.13178393747419156
2,C093LPG,-0.5207660357247559,-1.1887415359917248
3,C095EUA,0.2766503820063281,1.2664932356701308
4,C117PCP,-0.9988000613882875,0.819894177405488
5,C117ZCJ,0.7518374796983639,1.1062163954477637
6,C219FXH,-0.27742490238976764,-0.4878544450304311
7,C293CQN,-0.46255055906623244,-0.12533288472630674
8,C318MDG,1.47321449736176,0.6580726285446199
9,C319GBH,-0.39651731568433013,-0.5159871818899826
10,C362BFV,0.18522732889093235,0.26083193914204295
11,C417EYF,-0.20310092850770695,2.3846531328467333
12,C447PLV,-0.7772076780735022,0.31557001727534106
13,C476NXT,-0.6297413622348135,0.07134813907398296
14,C518UIX,0.7176029880107703,0.9371117400232721
15,C717CXP,-0.41680832080118635,0.38995101468667465
16,C739FTF,0.7971523115711635,1.184509172344212
17,C798RCT,0.4205162359588806,-0.22228178718549765
18,C824FSS,-1.336231695446126,-0.1313671928328554
19,C824NBF,0.6537837406667311,0.766966891292787
20,C824PBD,0.5804533286989946,0.6278015771013058
21,C870LSQ,0.7909813236883629,1.4384466150952455
22,C918MAY,-0.7443343933996662,-0.5748872792734903
23,C919YHU,-0.5152522919572464,0.9102570921000259
24,C958WNC,-0.6671988059702106,0.8270187589374544
25,C973KNY,-0.5131196747505034,0.20124879097549075
26,C990QJT,-0.5620767796806915,0.4090108237446179
27,D029TLV,0.009354336730819493,0.9870855700765457
28,D056QJV,-0.5631319016688422,0.7818595088767234
29,D070GGF,0.481820390684618,-0.6495615547377542
30,D077DTL,0.6681980974959918,-0.0507304769199701
31,D095SAB,-0.09128450832960677,0.37019547149648224
32,D136TKR,0.310939846365065,0.2455443660238937
33,D142RPP,-0.11436135771363024,0.9584133953997087
34,D156UGS,-0.5453649270991796,0.9370427766565128
35,D228DXU,0.7112259256826114,0.5985934560076102
36,D230VRZ,-0.6991282235424493,0.07348923776764721
37,D259IWF,-0.3113816192483516,-1.0755676423350577
38,D288SZI,-1.1718748337160678,0.7974768789502842
39,D340RAN,-1.3798149142656269,-0.11115317449151521
40,D354VFQ,-0.4060369559345457,-0.17336563034914768
41,D379DMI,-0.4970900857850925,0.6964739664111383
42,D456XJE,-0.13652449655736396,-0.5300332328424442
43,D467YBA,0.6427191566499556,-0.11205025920712769
44,D547MVL,-1.1729092633701794,1.5862210983911917
45,D558QCH,-0.34217605462150646,1.1874290133326912
46,D675EZD,0.6213707341462192,0.6818748445643518
47,D852UCL,-0.27310648257656966,-0.12324051905584583
48,D862VCU,-0.6123041537333553,1.2972938300065895
49,E144ATR,0.5806742243834544,-0.1989417232175383
50,E145UGF,-1.241744188710568,-0.8585129841223087
51,E353ZCS,-1.266378829359768,-0.14015847101347903
52,E477LWH,-0.4757715095407325,0.4374347323834453
53,E582SJC,-0.11925108772856118,-0.5622634049220828
54,E652VBM,-0.8452675675208479,-0.31174738171054295
55,E844UWS,-1.4861980566637147,0.7886306744693296
56,E887HEZ,-1.3798935113688457,-0.6618335760071905
57,E890NPT,-0.6177990927432193,0.060888013152978135
58,C025CRL,0.8771212398737634,0.9123197986587122
59,C051QSA,-0.5593090976099067,-0.13689709535063302
60,C221CWQ,-0.11348030112962361,-0.5001374384518786
61,C251BSI,-0.46259382200825594,1.1121767462135093
62,C265CLS,0.5690467620772899,-0.4402938376388382
63,C285UVN,-0.4262681671200319,1.132741751967274
64,C367YZU,-0.599239014078706,-0.21650991707364814
65,C422QJH,0.7062617936371094,0.06708225536875483
66,C536LHS,0.7416625354077945,0.8190972220545056
67,C621VUI,-1.3002116858998531,0.8780829628919306
68,C628DNC,-0.17083522415864627,-0.13744891617852387
69,C763DVE,0.507769061769677,0.9602884018933335
70,C840FBW,0.8003487464443412,1.0910398561036478
71,C857DPQ,0.6782794253160739,1.1225537051259766
72,C965CQK,0.6500051006777522,0.5651489435564241
73,D539FUX,-0.40180834642765995,1.111453983722912
74,D575MPL,0.6043183414370109,-0.48663764897627265
75,D737HGH,0.7010612206622943,0.7101133031918951
76,E030VPF,0.287026675708099,0.686939026220075
77,E442YSI,-0.0766626899118447,0.11461152151094402
78,E765EJP,0.7609771517242163,0.76813077212432
79,E796URB,-0.16711425523483203,0.8986473777227532
80,C019NRA,-1.6264730284483626,-0.968264948563529
81,C025DWY,-1.9213386263922099,-1.8214673497546268
82,C218MXV,-1.7090048570060294,-2.2341738346029367
83,C317MXY,-1.66133454860303,-0.22527344313582684
84,C319RPC,-1.662578218787709,-0.5409607151119941
85,C320VCH,-1.0926499806851053,-1.1014677333257927
86,C324QJE,-0.7168879020980994,-1.6403574960821874
87,C324XJC,-0.6810848851350102,-1.0575529656678506
